event_id,cardid,posid,posname,date,time,payment_type,payment_circuit,amount,currency
4c346992-8054-4abe-968e-2b4ab789d5fb,a4166952-5f0a-4979-ba3f-26a888d85240,cf736ed3-5308-4586-9472-557a71c34a7a,o8}kjtf+!*$p,1989-06-25,02:33:36,CHIP,MAESTRO,84.99,IDR
c6f46fdd-5474-4754-bdf8-1f31508904e7,9f6d6f15-94ca-4400-9a92-e4bd7a0f5ecb,5c6a7c81-3a86-4679-9731-cca59fb4c778,Jones PLC,1975-07-10,18:24:59,QR,MASTERCARD,3.23,GMD
ddc8fd96-72ef-49d6-a23f-0ff2a68502cd,caa869bf-67ea-4c38-a388-e92aa1cdde65,c4d113df-aebb-432c-8f81-06a348a46d25,"Johnson, Lopez and Rivera",2006-02-03,13:05:06,QR,MASTERCARD,792.5,HKD
f655333a-fe97-4848-9100-b57219647950,36cdcb7c-36e8-4b57-941c-e83d30d51aee,bfce1006-42d1-431f-a451-5d608106b8be,Torres-Meza,2015-12-28,01:14:40,QR,MASTERCARD,797.4,3o6
55646fd7-79d6-4d53-811b-e15ecb40ddba,0d5ec1d9-0696-41c8-bea5-4ed119800ba6,d9aed98d-f8e1-4629-90fb-c2e6cecca751,Johnson LLC,1984-06-25,00:18:33,CONTACTLESS,MAESTRO,926.47,zEc
de2798fd-4cee-4491-9791-ecaab8f8285e,1264746b-b1f7-4056-82e8-90aa6d20f6b6,4634b24d-c5cf-4959-b743-2ce0ff18a73f,Barton-Pierce,2011-10-31,11:38:57,NFC,MASTERCARD,578.62,~M)F2C
1eac5855-b6f5-4ca8-8f35-85b7f981e83d,a634c793-6251-4c5e-a081-d46c81877e87,91207a18-73f1-4436-a6af-581e14294f24,PyOowN\E?Cy>gIMD',2017-08-14,14:28:16,QR,MASTERCARD,168.99,BZD
a807e345-d121-4f79-bd85-5611c1a8e8e3,3db05f05-df68-4c12-93e6-252d804bde4f,1fcf7cfb-1e8a-49ee-8e23-d11a1a009e47,Bean Group,1975-04-21,06:22:06,=u,MAESTRO,802.83,AZN
63fc8d36-f57f-4db0-8c56-478318a746ad,1af38f01-2c7b-4bcc-920c-e49aeb74b59a,38b493c2-28fe-4aaa-963b-38c84dbfac61,Daniels and Sons,2014-01-21,17:08:02,CONTACTLESS,MASTERCARD,898.85,KWD
19560349-9614-4a1d-9bed-747914f9311c,355c638a-3af7-41ba-9bde-5797cfe55e4d,2fa61d67-b23d-4898-b41a-978c52e725a5,Phelps LLC,2003-10-30,17:09:24,CONTACTLESS,MASTERCARD,194.02,LSL
89622659-08fb-4615-94ef-a0ffb3d82146,d299ee9b-cc5c-4a19-8f93-bcf54a97bc8c,43d6e210-548b-4d86-a1bc-dbddc45fc2bd,"Simon, Taylor and Love",2019-01-24,12:24:50,NFC,MASTERCARD,688.14,NPR
98d0d11d-fe1b-4759-b93b-501e28831cd4,c7a875e3-9d38-4354-8de1-817c61c49c71,S9`*;.8MP.!$@1%^IaP.y:.%ORFgp[NESB_2L,Baker-Swanson,2007-07-08,11:02:12,CONTACTLESS,MAESTRO,98.47,LRD
ab16f41b-c6f8-4b83-ae88-e840a7291530,9de0a64a-f277-4a97-b406-3a7d6a950ea5,2708bb1c-6988-4962-8da6-507b8a8fa4fb,Potts-Anderson,2001-06-15,23:29:41,QR,MAESTRO,825.21,2
